ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,NEWS27,SYSTEM1.TXT,0.61765,0.51639,0.56250,1

ROUGE-1,NEWS28,SYSTEM1.TXT,0.70976,0.98644,0.82553,1

ROUGE-1,NEWS29,SYSTEM1.TXT,0.69600,0.61268,0.65169,1

ROUGE-1,NEWS23,SYSTEM1.TXT,0.68657,0.82883,0.75102,1

ROUGE-1,NEWS24,SYSTEM1.TXT,0.47531,0.74038,0.57895,1

ROUGE-1,NEWS25,SYSTEM1.TXT,0.59606,0.53304,0.56279,1

ROUGE-1,NEWS26,SYSTEM1.TXT,0.53247,0.71930,0.61194,1

ROUGE-1,NEWS30,SYSTEM1.TXT,0.23649,0.48611,0.31818,1

ROUGE-1,NEWS20,SYSTEM1.TXT,1.00000,1.00000,1.00000,1

ROUGE-1,NEWS21,SYSTEM1.TXT,0.54286,0.51630,0.52925,1

ROUGE-1,NEWS22,SYSTEM1.TXT,0.15556,0.21875,0.18182,1

