ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1+StopWordRemoval,NEWS322,SYSTEM1.TXT,0.87273,0.61538,0.72180,1

ROUGE-1+StopWordRemoval,NEWS564,SYSTEM1.TXT,0.81132,1.00000,0.89583,1

ROUGE-1+StopWordRemoval,NEWS323,SYSTEM1.TXT,0.55932,1.00000,0.71739,1

ROUGE-1+StopWordRemoval,NEWS565,SYSTEM1.TXT,0.91071,1.00000,0.95327,1

ROUGE-1+StopWordRemoval,NEWS566,SYSTEM1.TXT,0.84783,1.00000,0.91765,1

ROUGE-1+StopWordRemoval,NEWS324,SYSTEM1.TXT,0.82979,0.53425,0.65000,1

ROUGE-1+StopWordRemoval,NEWS567,SYSTEM1.TXT,0.38095,0.68571,0.48980,1

ROUGE-1+StopWordRemoval,NEWS325,SYSTEM1.TXT,1.00000,0.65152,0.78899,1

ROUGE-1+StopWordRemoval,NEWS326,SYSTEM1.TXT,0.83636,0.63889,0.72441,1

ROUGE-1+StopWordRemoval,NEWS568,SYSTEM1.TXT,1.00000,0.73214,0.84536,1

ROUGE-1+StopWordRemoval,NEWS327,SYSTEM1.TXT,1.00000,0.40323,0.57471,1

ROUGE-1+StopWordRemoval,NEWS569,SYSTEM1.TXT,1.00000,1.00000,1.00000,1

ROUGE-1+StopWordRemoval,NEWS328,SYSTEM1.TXT,0.81132,0.67188,0.73504,1

ROUGE-1+StopWordRemoval,NEWS329,SYSTEM1.TXT,0.92424,0.82432,0.87143,1

ROUGE-1+StopWordRemoval,NEWS570,SYSTEM1.TXT,1.00000,0.55952,0.71756,1

ROUGE-1+StopWordRemoval,NEWS571,SYSTEM1.TXT,0.82258,1.00000,0.90265,1

ROUGE-1+StopWordRemoval,NEWS330,SYSTEM1.TXT,0.77586,0.56962,0.65693,1

ROUGE-1+StopWordRemoval,NEWS572,SYSTEM1.TXT,0.73810,1.00000,0.84932,1

ROUGE-1+StopWordRemoval,NEWS573,SYSTEM1.TXT,1.00000,0.77027,0.87023,1

ROUGE-1+StopWordRemoval,NEWS331,SYSTEM1.TXT,0.83607,1.00000,0.91071,1

ROUGE-1+StopWordRemoval,NEWS332,SYSTEM1.TXT,0.64706,0.76744,0.70213,1

ROUGE-1+StopWordRemoval,NEWS574,SYSTEM1.TXT,0.60294,1.00000,0.75229,1

ROUGE-1+StopWordRemoval,NEWS575,SYSTEM1.TXT,1.00000,1.00000,1.00000,1

ROUGE-1+StopWordRemoval,NEWS333,SYSTEM1.TXT,1.00000,1.00000,1.00000,1

ROUGE-1+StopWordRemoval,NEWS334,SYSTEM1.TXT,1.00000,0.73913,0.85000,1

ROUGE-1+StopWordRemoval,NEWS576,SYSTEM1.TXT,0.91071,1.00000,0.95327,1

ROUGE-1+StopWordRemoval,NEWS335,SYSTEM1.TXT,1.00000,0.82432,0.90370,1

