ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-3,NEWS27,SYSTEM1.TXT,0.53125,0.43966,0.48113,1

ROUGE-3,NEWS28,SYSTEM1.TXT,0.68878,0.98182,0.80960,1

ROUGE-3,NEWS29,SYSTEM1.TXT,0.63248,0.55224,0.58964,1

ROUGE-3,NEWS23,SYSTEM1.TXT,0.65625,0.80000,0.72103,1

ROUGE-3,NEWS24,SYSTEM1.TXT,0.39333,0.64130,0.48760,1

ROUGE-3,NEWS25,SYSTEM1.TXT,0.50262,0.44651,0.47291,1

ROUGE-3,NEWS26,SYSTEM1.TXT,0.49306,0.68269,0.57258,1

ROUGE-3,NEWS30,SYSTEM1.TXT,0.08571,0.18750,0.11765,1

ROUGE-3,NEWS20,SYSTEM1.TXT,1.00000,1.00000,1.00000,1

ROUGE-3,NEWS21,SYSTEM1.TXT,0.49080,0.46512,0.47761,1

ROUGE-3,NEWS22,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

