ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-2+StopWordRemoval,NEWS322,SYSTEM1.TXT,0.84615,0.59459,0.69841,1

ROUGE-2+StopWordRemoval,NEWS564,SYSTEM1.TXT,0.81633,1.00000,0.89888,1

ROUGE-2+StopWordRemoval,NEWS323,SYSTEM1.TXT,0.54386,1.00000,0.70455,1

ROUGE-2+StopWordRemoval,NEWS565,SYSTEM1.TXT,0.90566,1.00000,0.95050,1

ROUGE-2+StopWordRemoval,NEWS566,SYSTEM1.TXT,0.85714,1.00000,0.92308,1

ROUGE-2+StopWordRemoval,NEWS324,SYSTEM1.TXT,0.75000,0.47826,0.58407,1

ROUGE-2+StopWordRemoval,NEWS567,SYSTEM1.TXT,0.31148,0.57576,0.40426,1

ROUGE-2+StopWordRemoval,NEWS325,SYSTEM1.TXT,1.00000,0.64516,0.78431,1

ROUGE-2+StopWordRemoval,NEWS326,SYSTEM1.TXT,0.84615,0.63768,0.72727,1

ROUGE-2+StopWordRemoval,NEWS568,SYSTEM1.TXT,1.00000,0.73077,0.84444,1

ROUGE-2+StopWordRemoval,NEWS327,SYSTEM1.TXT,1.00000,0.39655,0.56790,1

ROUGE-2+StopWordRemoval,NEWS569,SYSTEM1.TXT,1.00000,1.00000,1.00000,1

ROUGE-2+StopWordRemoval,NEWS328,SYSTEM1.TXT,0.72000,0.60000,0.65455,1

ROUGE-2+StopWordRemoval,NEWS329,SYSTEM1.TXT,0.87302,0.77465,0.82090,1

ROUGE-2+StopWordRemoval,NEWS570,SYSTEM1.TXT,1.00000,0.55696,0.71545,1

ROUGE-2+StopWordRemoval,NEWS571,SYSTEM1.TXT,0.82759,1.00000,0.90566,1

ROUGE-2+StopWordRemoval,NEWS330,SYSTEM1.TXT,0.74074,0.54054,0.62500,1

ROUGE-2+StopWordRemoval,NEWS572,SYSTEM1.TXT,0.74359,1.00000,0.85294,1

ROUGE-2+StopWordRemoval,NEWS573,SYSTEM1.TXT,1.00000,0.76812,0.86885,1

ROUGE-2+StopWordRemoval,NEWS331,SYSTEM1.TXT,0.84211,1.00000,0.91429,1

ROUGE-2+StopWordRemoval,NEWS332,SYSTEM1.TXT,0.64583,0.77500,0.70455,1

ROUGE-2+StopWordRemoval,NEWS574,SYSTEM1.TXT,0.60317,0.97436,0.74510,1

ROUGE-2+StopWordRemoval,NEWS575,SYSTEM1.TXT,1.00000,1.00000,1.00000,1

ROUGE-2+StopWordRemoval,NEWS333,SYSTEM1.TXT,1.00000,1.00000,1.00000,1

ROUGE-2+StopWordRemoval,NEWS334,SYSTEM1.TXT,1.00000,0.73846,0.84956,1

ROUGE-2+StopWordRemoval,NEWS576,SYSTEM1.TXT,0.90566,1.00000,0.95050,1

ROUGE-2+StopWordRemoval,NEWS335,SYSTEM1.TXT,1.00000,0.82857,0.90625,1

ROUGE-2+StopWordRemoval,NEWS577,SYSTEM1.TXT,0.61111,0.53659,0.57143,1

ROUGE-2+StopWordRemoval,NEWS336,SYSTEM1.TXT,1.00000,0.43939,0.61053,1

ROUGE-2+StopWordRemoval,NEWS578,SYSTEM1.TXT,1.00000,0.81034,0.89524,1

ROUGE-2+StopWordRemoval,NEWS337,SYSTEM1.TXT,1.00000,0.67273,0.80435,1

ROUGE-2+StopWordRemoval,NEWS579,SYSTEM1.TXT,0.64151,0.58621,0.61261,1

ROUGE-2+StopWordRemoval,NEWS338,SYSTEM1.TXT,0.43636,1.00000,0.60759,1

ROUGE-2+StopWordRemoval,NEWS339,SYSTEM1.TXT,0.29870,1.00000,0.46000,1

ROUGE-2+StopWordRemoval,NEWS580,SYSTEM1.TXT,1.00000,0.64516,0.78431,1

ROUGE-2+StopWordRemoval,NEWS581,SYSTEM1.TXT,0.45714,0.39024,0.42105,1

ROUGE-2+StopWordRemoval,NEWS340,SYSTEM1.TXT,1.00000,1.00000,1.00000,1

ROUGE-2+StopWordRemoval,NEWS582,SYSTEM1.TXT,0.79208,0.80000,0.79602,1

ROUGE-2+StopWordRemoval,NEWS341,SYSTEM1.TXT,1.00000,0.33333,0.50000,1

ROUGE-2+StopWordRemoval,NEWS583,SYSTEM1.TXT,0.77778,0.46053,0.57851,1

ROUGE-2+StopWordRemoval,NEWS342,SYSTEM1.TXT,0.38636,0.39535,0.39080,1

ROUGE-2+StopWordRemoval,NEWS584,SYSTEM1.TXT,0.66667,0.68000,0.67327,1

ROUGE-2+StopWordRemoval,NEWS100,SYSTEM1.TXT,1.00000,0.73684,0.84848,1

ROUGE-2+StopWordRemoval,NEWS585,SYSTEM1.TXT,0.75556,0.68000,0.71579,1

ROUGE-2+StopWordRemoval,NEWS343,SYSTEM1.TXT,1.00000,0.79221,0.88406,1

ROUGE-2+StopWordRemoval,NEWS101,SYSTEM1.TXT,0.81667,1.00000,0.89908,1

ROUGE-2+StopWordRemoval,NEWS344,SYSTEM1.TXT,0.55556,1.00000,0.71429,1

ROUGE-2+StopWordRemoval,NEWS586,SYSTEM1.TXT,0.72414,1.00000,0.84000,1

ROUGE-2+StopWordRemoval,NEWS102,SYSTEM1.TXT,1.00000,0.45192,0.62252,1

ROUGE-2+StopWordRemoval,NEWS345,SYSTEM1.TXT,0.71429,0.67797,0.69565,1

ROUGE-2+StopWordRemoval,NEWS587,SYSTEM1.TXT,0.59504,1.00000,0.74611,1

ROUGE-2+StopWordRemoval,NEWS103,SYSTEM1.TXT,1.00000,1.00000,1.00000,1

ROUGE-2+StopWordRemoval,NEWS588,SYSTEM1.TXT,1.00000,0.62338,0.76800,1

ROUGE-2+StopWordRemoval,NEWS346,SYSTEM1.TXT,0.65957,0.68889,0.67391,1

ROUGE-2+StopWordRemoval,NEWS104,SYSTEM1.TXT,1.00000,0.65306,0.79012,1

ROUGE-2+StopWordRemoval,NEWS589,SYSTEM1.TXT,0.74138,1.00000,0.85149,1

ROUGE-2+StopWordRemoval,NEWS347,SYSTEM1.TXT,1.00000,1.00000,1.00000,1

ROUGE-2+StopWordRemoval,NEWS105,SYSTEM1.TXT,0.76190,0.80000,0.78049,1

ROUGE-2+StopWordRemoval,NEWS96,SYSTEM1.TXT,0.97297,0.45570,0.62069,1

ROUGE-2+StopWordRemoval,NEWS106,SYSTEM1.TXT,0.82456,0.63514,0.71756,1

ROUGE-2+StopWordRemoval,NEWS348,SYSTEM1.TXT,1.00000,1.00000,1.00000,1

ROUGE-2+StopWordRemoval,NEWS107,SYSTEM1.TXT,1.00000,0.61429,0.76106,1

ROUGE-2+StopWordRemoval,NEWS349,SYSTEM1.TXT,0.65714,0.48936,0.56098,1

ROUGE-2+StopWordRemoval,NEWS97,SYSTEM1.TXT,1.00000,0.77778,0.87500,1

ROUGE-2+StopWordRemoval,NEWS108,SYSTEM1.TXT,0.76190,0.78049,0.77108,1

ROUGE-2+StopWordRemoval,NEWS98,SYSTEM1.TXT,1.00000,0.54167,0.70270,1

ROUGE-2+StopWordRemoval,NEWS109,SYSTEM1.TXT,1.00000,0.53571,0.69767,1

ROUGE-2+StopWordRemoval,NEWS99,SYSTEM1.TXT,0.57895,0.36066,0.44444,1

ROUGE-2+StopWordRemoval,NEWS92,SYSTEM1.TXT,0.60345,1.00000,0.75269,1

ROUGE-2+StopWordRemoval,NEWS590,SYSTEM1.TXT,0.98485,0.69892,0.81761,1

ROUGE-2+StopWordRemoval,NEWS93,SYSTEM1.TXT,1.00000,0.76712,0.86822,1

ROUGE-2+StopWordRemoval,NEWS591,SYSTEM1.TXT,0.87234,0.59420,0.70690,1

ROUGE-2+StopWordRemoval,NEWS94,SYSTEM1.TXT,0.82456,1.00000,0.90385,1

ROUGE-2+StopWordRemoval,NEWS592,SYSTEM1.TXT,0.55769,0.63043,0.59184,1

ROUGE-2+StopWordRemoval,NEWS95,SYSTEM1.TXT,1.00000,1.00000,1.00000,1

ROUGE-2+StopWordRemoval,NEWS350,SYSTEM1.TXT,1.00000,0.58889,0.74126,1

ROUGE-2+StopWordRemoval,NEWS351,SYSTEM1.TXT,0.73585,0.65000,0.69027,1

ROUGE-2+StopWordRemoval,NEWS593,SYSTEM1.TXT,1.00000,0.69841,0.82243,1

ROUGE-2+StopWordRemoval,NEWS352,SYSTEM1.TXT,0.85714,0.76364,0.80769,1

ROUGE-2+StopWordRemoval,NEWS110,SYSTEM1.TXT,1.00000,0.60870,0.75676,1

ROUGE-2+StopWordRemoval,NEWS594,SYSTEM1.TXT,0.98361,0.68966,0.81081,1

ROUGE-2+StopWordRemoval,NEWS90,SYSTEM1.TXT,0.60465,1.00000,0.75362,1

ROUGE-2+StopWordRemoval,NEWS111,SYSTEM1.TXT,0.98182,0.64286,0.77698,1

ROUGE-2+StopWordRemoval,NEWS595,SYSTEM1.TXT,1.00000,0.76000,0.86364,1

ROUGE-2+StopWordRemoval,NEWS353,SYSTEM1.TXT,0.79545,0.42169,0.55118,1

ROUGE-2+StopWordRemoval,NEWS112,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-2+StopWordRemoval,NEWS354,SYSTEM1.TXT,0.73469,1.00000,0.84706,1

ROUGE-2+StopWordRemoval,NEWS91,SYSTEM1.TXT,0.77143,0.39130,0.51923,1

ROUGE-2+StopWordRemoval,NEWS596,SYSTEM1.TXT,0.49315,1.00000,0.66055,1

ROUGE-2+StopWordRemoval,NEWS597,SYSTEM1.TXT,0.62069,0.30769,0.41143,1

ROUGE-2+StopWordRemoval,NEWS89,SYSTEM1.TXT,0.47826,0.59459,0.53012,1

ROUGE-2+StopWordRemoval,NEWS113,SYSTEM1.TXT,1.00000,0.76786,0.86869,1

ROUGE-2+StopWordRemoval,NEWS355,SYSTEM1.TXT,0.72727,0.78431,0.75472,1

ROUGE-2+StopWordRemoval,NEWS598,SYSTEM1.TXT,1.00000,0.69231,0.81818,1

ROUGE-2+StopWordRemoval,NEWS114,SYSTEM1.TXT,1.00000,1.00000,1.00000,1

ROUGE-2+StopWordRemoval,NEWS356,SYSTEM1.TXT,0.52308,0.61818,0.56667,1

ROUGE-2+StopWordRemoval,NEWS357,SYSTEM1.TXT,0.16667,1.00000,0.28571,1

ROUGE-2+StopWordRemoval,NEWS599,SYSTEM1.TXT,1.00000,1.00000,1.00000,1

ROUGE-2+StopWordRemoval,NEWS115,SYSTEM1.TXT,0.62500,0.46296,0.53191,1

ROUGE-2+StopWordRemoval,NEWS358,SYSTEM1.TXT,1.00000,0.56250,0.72000,1

ROUGE-2+StopWordRemoval,NEWS116,SYSTEM1.TXT,0.53704,1.00000,0.69880,1

ROUGE-2+StopWordRemoval,NEWS85,SYSTEM1.TXT,1.00000,0.55140,0.71084,1

ROUGE-2+StopWordRemoval,NEWS117,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-2+StopWordRemoval,NEWS359,SYSTEM1.TXT,0.80357,1.00000,0.89109,1

ROUGE-2+StopWordRemoval,NEWS118,SYSTEM1.TXT,0.74194,0.47917,0.58228,1

ROUGE-2+StopWordRemoval,NEWS86,SYSTEM1.TXT,1.00000,1.00000,1.00000,1

ROUGE-2+StopWordRemoval,NEWS87,SYSTEM1.TXT,0.75862,1.00000,0.86275,1

ROUGE-2+StopWordRemoval,NEWS119,SYSTEM1.TXT,0.75510,0.46250,0.57364,1

ROUGE-2+StopWordRemoval,NEWS88,SYSTEM1.TXT,1.00000,1.00000,1.00000,1

ROUGE-2+StopWordRemoval,NEWS81,SYSTEM1.TXT,0.51923,0.60000,0.55670,1

ROUGE-2+StopWordRemoval,NEWS82,SYSTEM1.TXT,0.43750,0.53846,0.48276,1

ROUGE-2+StopWordRemoval,NEWS360,SYSTEM1.TXT,1.00000,1.00000,1.00000,1

ROUGE-2+StopWordRemoval,NEWS83,SYSTEM1.TXT,1.00000,1.00000,1.00000,1

ROUGE-2+StopWordRemoval,NEWS361,SYSTEM1.TXT,0.76744,0.42857,0.55000,1

ROUGE-2+StopWordRemoval,NEWS84,SYSTEM1.TXT,1.00000,0.48333,0.65169,1

ROUGE-2+StopWordRemoval,NEWS120,SYSTEM1.TXT,1.00000,0.44186,0.61290,1

ROUGE-2+StopWordRemoval,NEWS362,SYSTEM1.TXT,0.84615,0.75862,0.80000,1

ROUGE-2+StopWordRemoval,NEWS121,SYSTEM1.TXT,0.78689,1.00000,0.88073,1

ROUGE-2+StopWordRemoval,NEWS363,SYSTEM1.TXT,0.80392,1.00000,0.89130,1

ROUGE-2+StopWordRemoval,NEWS364,SYSTEM1.TXT,0.51852,0.53846,0.52830,1

ROUGE-2+StopWordRemoval,NEWS122,SYSTEM1.TXT,0.66000,1.00000,0.79518,1

ROUGE-2+StopWordRemoval,NEWS123,SYSTEM1.TXT,1.00000,1.00000,1.00000,1

ROUGE-2+StopWordRemoval,NEWS80,SYSTEM1.TXT,1.00000,0.73973,0.85039,1

ROUGE-2+StopWordRemoval,NEWS365,SYSTEM1.TXT,0.63636,1.00000,0.77778,1

ROUGE-2+StopWordRemoval,NEWS124,SYSTEM1.TXT,1.00000,0.71910,0.83660,1

ROUGE-2+StopWordRemoval,NEWS366,SYSTEM1.TXT,0.85714,0.70000,0.77064,1

ROUGE-2+StopWordRemoval,NEWS367,SYSTEM1.TXT,1.00000,0.77465,0.87302,1

ROUGE-2+StopWordRemoval,NEWS125,SYSTEM1.TXT,1.00000,0.75862,0.86275,1

ROUGE-2+StopWordRemoval,NEWS368,SYSTEM1.TXT,0.75510,0.64912,0.69811,1

ROUGE-2+StopWordRemoval,NEWS126,SYSTEM1.TXT,1.00000,0.84615,0.91667,1

ROUGE-2+StopWordRemoval,NEWS369,SYSTEM1.TXT,1.00000,0.54369,0.70440,1

ROUGE-2+StopWordRemoval,NEWS127,SYSTEM1.TXT,0.91071,0.79688,0.85000,1

ROUGE-2+StopWordRemoval,NEWS128,SYSTEM1.TXT,0.65217,0.30612,0.41667,1

ROUGE-2+StopWordRemoval,NEWS129,SYSTEM1.TXT,0.70690,1.00000,0.82828,1

ROUGE-2+StopWordRemoval,NEWS370,SYSTEM1.TXT,0.72727,0.64516,0.68376,1

ROUGE-2+StopWordRemoval,NEWS371,SYSTEM1.TXT,0.83607,0.80952,0.82258,1

ROUGE-2+StopWordRemoval,NEWS372,SYSTEM1.TXT,0.29091,1.00000,0.45070,1

ROUGE-2+StopWordRemoval,NEWS130,SYSTEM1.TXT,0.86154,1.00000,0.92562,1

ROUGE-2+StopWordRemoval,NEWS131,SYSTEM1.TXT,0.66154,1.00000,0.79630,1

ROUGE-2+StopWordRemoval,NEWS373,SYSTEM1.TXT,0.58333,0.63636,0.60870,1

